year,revenue,expenditure,surplus
2025.0,-4473350112.990723,-22485545.665039062,-4450864567.325684
2026.0,-7612092425.258301,-32889351.415283203,-7579203073.843018
2027.0,-7915493757.577148,-45353624.84863281,-7870140132.728516
2028.0,-7780830904.597656,-6768302.350097656,-7774062602.247559
2029.0,-7768476616.124512,-11064915.177001953,-7757411700.94751
2030.0,-7659441685.6015625,-29531012.67138672,-7629910672.930176
2031.0,-7827315475.194824,-3562958.294921875,-7823752516.899902
2032.0,-8328316905.995605,-534514.517578125,-8327782391.478027
2033.0,-8708680378.733398,-3881987.6000976562,-8704798391.1333
2034.0,-8923214652.950195,-30464061.752929688,-8892750591.197266
ten_year_total,-76997212915.02393,-186536274.29296875,-76810676640.73096
