year,revenue,expenditure,surplus
2025.0,51681754134.30371,-116993606.20507812,51798747740.50879
2026.0,59558895965.65381,-102852151.03222656,59661748116.686035
2027.0,63400902889.813965,-112493832.52856445,63513396722.34253
2028.0,67797862223.65381,-64746502.92993164,67862608726.58374
2029.0,71907518216.83008,-61182305.392333984,71968700522.22241
2030.0,76201618828.62012,-89012778.8605957,76290631607.48071
2031.0,80810334114.84229,-47427321.35473633,80857761436.19702
2032.0,85581510670.3999,-76195842.64111328,85657706513.04102
2033.0,89787834152.84473,-99967967.1665039,89887802120.01123
2034.0,94389794721.7959,-140491437.23095703,94530286159.02686
ten_year_total,741118025918.7583,-911363745.342041,742029389664.1003
